città;doc_id;URL
Agrigento;text143;https://palermo.repubblica.it/societa/2022/06/30/news/la_sicilia_vista_dai_millennials_ecco_la_guida_allisola_pensata_dai_giovani_per_lunesco-356038833/?rss
Ancona;text44;https://www.ilsole24ore.com/art/la-scrivania-vista-e-offerta-libera-ecco-dove-fare-smart-working-aziende-agricole-ADuIcNGB
Arezzo;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Arzignano;text133;https://www.ilgiornaledivicenza.it/rubriche/viaggi-e-turismo/elisabetta-faggiana-savio-losito-viaggio-italia-unexpected-italy-1.10752197
Asti;text14;https://notiziaoggi.it/idee-consigli/anche-il-piemonte-tra-i-luoghi-nascosti-da-visitare-lultima-ricerca/
Avellino;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Bagno a Ripoli;text120;https://www.lanazione.it/arezzo/cronaca/il-progetto-di-castelnuovo-davane-presentato-al-viola-park-yxt5cjog
Bari;text16;https://www.ansa.it/puglia/notizie/2023/06/06/bari-capitale-digitale-il-9-e-10-giugno-attrarre-talenti_6925b6a4-4fcd-4958-9660-33d832d5bfb3.html
Bari;text85;https://bari.repubblica.it/cronaca/2023/09/21/news/nei_locali_dellex_istituto_nautico_apre_lostabile_sara_la_casa_dei_nomadi_digitali-415317861/?rss
Bari;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Bari;text90;https://www.repubblica.it/economia/2024/07/25/news/nomadi_digitali_ecco_le_dieci_citta_piu_accoglienti_per_chi_vuole_lavorare_nella_grande_bellezza-423413422/?rss
Barletta;text133;https://www.ilgiornaledivicenza.it/rubriche/viaggi-e-turismo/elisabetta-faggiana-savio-losito-viaggio-italia-unexpected-italy-1.10752197
Bergamo;text153;https://www.ecodibergamo.it/stories/premium/bergamo-citta/lenogastronomia-fa-crescere-turismo-e-stranieri-superano-visitatori-italiani-o_1769531_11/
Bergamo;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Bertinoro;text44;https://www.ilsole24ore.com/art/la-scrivania-vista-e-offerta-libera-ecco-dove-fare-smart-working-aziende-agricole-ADuIcNGB
Bologna;text21;https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
Bologna;text94;https://www.ilsole24ore.com/art/bologna-nhood-vince-bando-riqualificare-scalo-ravone-prati-AGwUp1F
Bologna;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Bolzano;text152;https://www.ilfriuli.it/economia/visionalps-2023-tolmezzo/
Bolzano;text155;https://www.ilsole24ore.com/art/trento-e-pescara-l-accoppiata-vincente-sviluppo-ecosostenibile-AEoLwhcB
Bolzano;text90;https://www.repubblica.it/economia/2024/07/25/news/nomadi_digitali_ecco_le_dieci_citta_piu_accoglienti_per_chi_vuole_lavorare_nella_grande_bellezza-423413422/?rss
Brescia;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Brindisi;text77;https://www.lagazzettadelmezzogiorno.it/news/brindisi/1350552/turismo-in-smart-working-brindisi-tra-le-20-destinazioni-preferite.html
Brindisi;text11;https://www.lagazzettadelmezzogiorno.it/news/brindisi/1365519/al-via-la-campagna-di-airbnb-per-attrarre-nomadi-digitali-in-collaborazione-col-comune-di-brindisi.html
Brindisi;text154;https://www.corriere.it/economia/lavoro/22_maggio_06/smart-working-l-imprenditore-che-lavora-camper-il-mio-ufficio-vista-mare-bb93482e-cc75-11ec-b523-191019bfc881.shtml
Brindisi;text8;http://www.ansa.it/nuova_europa/it/notizie/rubriche/altrenews/2022/10/03/airbnb-fvg-tra-le-20-localita-al-mondo-per-digital-nomads_dbf5ba67-0104-47d7-8520-092800c917c8.html
Brindisi;text105;https://www.ligurianotizie.it/nomadi-digitali-anche-la-liguria-tra-le-migliori-mete-per-lo-smart-working/2022/12/05/522636/
Brindisi;text86;https://messaggeroveneto.gelocal.it/udine/cronaca/2022/10/04/news/smart_working_per_airbnb_il_fvg_meta_ideale_per_i_nomadi_digitali-10254416/
Brunico;text37;https://www.panorama.it/viaggi/italia/turismo-dolomiti-lavoro-digital-ama-stay
Cagliari;text146;https://www.castedduonline.it/massimo-zedda-piu-case-dello-studente-a-cagliari-dobbiamo-attrarre-tanti-giovani-per-studiare-o-lavorare/
Cagliari;text107;https://www.ansa.it/sardegna/notizie/2024/08/08/acquisti-case-nellisola-anche-da-usa-per-lavorare-da-remoto_c38c8e83-3c22-4869-8efb-765fb3663d86.html
Cagliari;text90;https://www.repubblica.it/economia/2024/07/25/news/nomadi_digitali_ecco_le_dieci_citta_piu_accoglienti_per_chi_vuole_lavorare_nella_grande_bellezza-423413422/?rss
Caltagirone;text84;https://www.corriere.it/economia/casa/22_marzo_26/airbnb-casa-gratis-ripopolare-sambuca-arrivate-100-mila-domande-631f31e8-ad09-11ec-b4fc-c139140ab75b.shtml
Catania;text143;https://palermo.repubblica.it/societa/2022/06/30/news/la_sicilia_vista_dai_millennials_ecco_la_guida_allisola_pensata_dai_giovani_per_lunesco-356038833/?rss
Catania;text44;https://www.ilsole24ore.com/art/la-scrivania-vista-e-offerta-libera-ecco-dove-fare-smart-working-aziende-agricole-ADuIcNGB
Catanzaro;text114;https://www.giornaledicalabria.it/?p=314812
Cavriglia;text15;https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
Cavriglia;text120;https://www.lanazione.it/arezzo/cronaca/il-progetto-di-castelnuovo-davane-presentato-al-viola-park-yxt5cjog
Chiavari;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Cisternino;text92;https://www.galluraoggi.it/guide/nomadi-digitali-piace-italia-quali-perle-nascoste-visitare/
Cisternino;text42;https://metronews.it/2024/06/22/classifica-citta-italiane-preferite-nomadi-digitali/
Cisternino;text65;https://www.larena.it/publiadige/redazionali/quali-sono-le-migliori-citta-per-nomadi-digitali-in-italia-l-ultima-classifica-1.10745469
Cittadella;text114;https://www.giornaledicalabria.it/?p=314812
Como;text9;https://www.italpress.com/airbnb-le-zone-turistiche-rurali-crescono-8-volte-piu-delle-citta/
Cosenza;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Cremona;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Cutro;text125;https://www.giornaledicalabria.it/?p=299300
Empoli;text76;https://www.lanazione.it/empoli/cronaca/tempi-stretti-per-i-lavori-entro-la-fine-dellanno-gli-spazi-di-coworking-nellex-ospedale-60bb02bd
Ercolano;text113;https://www.ilsole24ore.com/art/dai-borghi-giardini-storici-assegnati-18-miliardi-euro-investimenti-culturali-AEgG46hB
Fano;text60;https://www.ansa.it/abruzzo/notizie/2024/05/10/nomadi-digitali-1205-nuove-residenzialita-a-fano-adriano_446ba2de-674c-4937-94eb-a89b9154b893.html
Ferrara;text134;https://lanuovaferrara.gelocal.it/ferrara/cronaca/2021/06/23/news/cosi-sara-il-campus-del-chiozzino-un-investimento-di-16-milioni-di-euro-1.40424062
Firenze;text23;https://www.ansa.it/toscana/notizie/speciali/2023/01/19/coworking-rurale-nel-boscovicchio-capofila-progetto-europeo_bcc1ff0b-c70a-4fc1-b829-a5c64c89164e.html
Firenze;text9;https://www.italpress.com/airbnb-le-zone-turistiche-rurali-crescono-8-volte-piu-delle-citta/
Firenze;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Firenze;text81;https://www.ilfoglio.it/societa/2022/06/09/gallery/venezia-49-999-fra-le-rotte-anti-spopolamento-una-sola-e-veramente-nuova-4088802/
Firenze;text136;https://www.ildenaro.it/consolato-usa-di-firenze-nuovi-servizi-per-gli-studenti-fuori-sede/
Firenze;text138;https://www.lanazione.it/firenze/cronaca/da-firenze-agli-usa-il-progetto-che-punta-a-fare-degli-studenti-stranieri-dei-cittadini-c70189f2
Firenze;text131;https://corrierefiorentino.corriere.it/firenze/notizie/cronaca/21_maggio_02/firenze-nasce-belong-piattaforma-web-che-promuove-affitti-citta-medio-termine-8302c33e-ab1c-11eb-90fe-4b42def2c5b9.shtml
Firenze;text21;https://www.internazionale.it/essenziale/notizie/sarah-gainsforth/2023/01/16/gentrificazione-serrvizi
Firenze;text43;https://www.agi.it/lifestyle/news/2022-03-01/remote-working-venezia-smart-working-progetto-venywhere-15801713/
Firenze;text24;https://www.lanazione.it/firenze/coworking-rurale-si-conclude-bluesamm-a-vicchio-e3c566d3
Firenze;text99;https://www.ildenaro.it/lavoro-4-0-dove-vanno-i-nomadi-digitali-anche-litalia-tra-le-destinazioni-piu-ambite/
Firenze;text64;https://www.lagazzettadelmezzogiorno.it/news/brindisi/1387899/ostuni-destagionalizza-grazie-ai-nomadi-digitali.html
Firenze;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Firenze;text142;https://firenze.repubblica.it/cronaca/2021/05/02/news/firenze_affitti_lavoro_studio_destination_florence_cvb_online_be_long_piattaforma-299022634/?rss
Foggia;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Forlì;text44;https://www.ilsole24ore.com/art/la-scrivania-vista-e-offerta-libera-ecco-dove-fare-smart-working-aziende-agricole-ADuIcNGB
Genova;text130;https://www.repubblica.it/cronaca/2024/03/31/news/affitti_brevi_temporanei_turisti_airbnb_citta_centro_storico-422401499/
Genova;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Gorizia;text15;https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
Grosseto;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Grosseto;text45;https://www.ilfattoquotidiano.it/2023/04/11/la-sfida-della-toscana-rilanciare-in-chiave-smart-economia-dei-territori-e-stili-di-vita/7120957/
Grottammare;text129;https://www.ilrestodelcarlino.it/marche/economia/turismo-spot-video-regione-p2rx3kgc
Jesi;text147;https://www.adnkronos.com/nomadi-digitali-consigli-pratici-per-guadagnare-con-linsegnamento-online-senza-smettere-di-viaggiare_6oAhgZXgKa2Wlu5AB4OFp6
Lamezia Terme;text125;https://www.giornaledicalabria.it/?p=299300
Lecce;text97;https://www.adnkronos.com/immediapress/ict/franco-di-cicco-la-puglia-territorio-ideale-per-una-nuova-silicon-valley_49BgS8afKcDPyGcjJ46mtC
Lerici;text105;https://www.ligurianotizie.it/nomadi-digitali-anche-la-liguria-tra-le-migliori-mete-per-lo-smart-working/2022/12/05/522636/
Livorno;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Lucca;text104;https://www.lanazione.it/economia/smart-working-dove-lavorare-jdxuabp8
Matera;text41;https://www.lagazzettadelmezzogiorno.it/news/matera/1348013/irsina-accoglie-i-nomadi-digitali-il-telelavoro-per-ripopolare-i-borghi.html
Melfi;text150;https://www.repubblica.it/green-and-blue/2023/02/16/news/spopolamento_stipendi_bassi_servizi_ambiente_aree_interne_borghi_pnrr-388142884/?rss
Milano;text132;https://www.ilgiorno.it/economia/milano-campagna-nuova-vita-borgo-antico-1.7917795
