Piccolo comune;doc_id;URL
Accadia;text15;https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
Acquapendente;text15;https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
Aliano;text12;https://www.lagazzettadelmezzogiorno.it/news/matera/1368415/aliano-e-tursi-il-mondo-e-qui-il-southworking-per-ripopolare-i-borghi.html
Andora;text15;https://www.ladige.it/cronaca/2022/03/18/bando-borghi-per-palu-dei-mocheni-il-ministro-franceschini-conferma-il-progetto-1.3160406
Badolato;text26;https://catanzaro.gazzettadelsud.it/articoli/societa/2022/03/09/dalla-lituania-a-badolato-lavorando-in-smart-working-fc711d8a-9254-403f-a63b-3b70547af1a6/?utm_source=immediafeed&utm_medium=feed&utm_campaign=hp_catanzaro
Badolato;text33;https://catanzaro.gazzettadelsud.it/articoli/societa/2022/01/22/i-luoghi-ideali-per-lo-smart-working-tra-i-prescelti-anche-il-borgo-di-badolato-e5ff910d-9caa-4b04-bfd4-18d2455c85fa/?utm_source=immediafeed&utm_medium=feed&utm_campaign=hp_catanzaro
Bagolino;text44;https://www.ilsole24ore.com/art/la-scrivania-vista-e-offerta-libera-ecco-dove-fare-smart-working-aziende-agricole-ADuIcNGB
Balestrate;text108;https://www.tgcom24.mediaset.it/tgcomlab/affitti-brevi-italianway-lancia-la-startupbuytorent_34431872-202102k.shtml
Barbaresco;text14;https://notiziaoggi.it/idee-consigli/anche-il-piemonte-tra-i-luoghi-nascosti-da-visitare-lultima-ricerca/
Barolo;text14;https://notiziaoggi.it/idee-consigli/anche-il-piemonte-tra-i-luoghi-nascosti-da-visitare-lultima-ricerca/
Breganze;text133;https://www.ilgiornaledivicenza.it/rubriche/viaggi-e-turismo/elisabetta-faggiana-savio-losito-viaggio-italia-unexpected-italy-1.10752197
Brisighella;text42;https://metronews.it/2024/06/22/classifica-citta-italiane-preferite-nomadi-digitali/
Calangianus;text111;https://www.galluraoggi.it/calangianus/pnrr-calangianus-progetto-approvato-16-marzo-2022/
Calangianus;text19;https://www.galluraoggi.it/cronaca/palazzo-puliga-riqualificazione-pnrr-21-febbraio-2022/
